,track_id,bodypump_release_number,track_title,track_type_id,muscle_group,difficulty,enjoyment,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated
124,10306,103,LET ME LOVE YOU,06,BICEPS,6,3,,,,,,,,
125,10203,102,SWEET LOVIN',03,CHEST,6,4,,,,,,,,
126,10305,103,COME GET IT BAE,05,TRICEPS,6,3,,,,,,,,
127,12406,124,FANCY (GTA REMIX),06,BICEPS,6,3,4:17,257.0,91.0,48.0,2.8241758241758244,5975.0,0.8299580520851236,7199.159023746879
128,9204,92,PROMISES,04,BACK,6,1,,,,,,,,
129,10505,105,WHAT ABOUT US,05,TRICEPS,6,3,5:34,334.0,79.0,15.0,4.227848101265823,4060.0,1.5578463908634057,2606.1619578229565
130,10207,102,LOST & FOUND,07,LUNGES,6,1,,,,,,,,
131,10303,103,BELIEVER,03,CHEST,6,4,,,,,,,,
132,11203,112,KILLER QUEEN,03,CHEST,5,4,,,,,,,,
133,11205,112,HUSTLE,05,TRICEPS,6,3,,,,,,,,
134,10302,103,HERE COMES THE SUN,02,SQUATS,6,3,,,,,,,,
135,12706,127,MAMBO SALENTINO,06,BICEPS,6,3,5:15,315.0,108.0,64.0,2.9166666666666665,6450.0,0.8571389091735144,7525.034660040497
136,10802,108,PUMP IT UP,02,SQUATS,6,3,5:43,343.0,86.0,12.0,3.988372093023256,4680.0,1.3544809480524163,3455.1981013312056
137,9304,93,HERE TONIGHT,04,BACK,6,1,,,,,,,,
138,10707,107,GOING MAD,07,LUNGES,6,1,5:41,341.0,60.0,12.0,5.683333333333334,3700.0,1.967697135947655,1880.3706792092562
139,9603,96,IMMORTALS,03,CHEST,6,3,6:08,368.0,209.0,152.0,1.7607655502392345,11725.0,0.6458625309895094,18154.017979702938
140,11102,111,CHASE THE SUN [EXTENDED MIX],02,SQUATS,6,3,5:44,344.0,77.0,0.0,4.467532467532467,3825.0,1.5172073896173066,2521.0792052395686
141,11103,111,YOUNGBLOOD,03,CHEST,6,3,5:38,338.0,137.0,72.0,2.4671532846715327,6330.0,0.9049710590717415,6994.698821079305
142,10606,106,WALK ON WATER,06,BICEPS,6,2,5:10,310.0,60.0,0.0,5.166666666666667,3020.0,1.518360353393083,1988.9876558296585
143,11802,118,TELL ME YOU LOVE ME (MATRIX & FUTUREBOUND REMIX),02,SQUATS,6,3,5:02,302.0,142.0,112.0,2.1267605633802815,7740.0,0.7222637700245833,10716.306592170002
144,12703,127,GOKU,03,CHEST,6,3,5:23,323.0,129.0,42.0,2.503875968992248,6365.0,0.9184412259754973,6930.220268846914
145,12705,127,MIC DROP,05,TRICEPS,7,2,6:03,363.0,115.0,12.0,3.1565217391304348,5875.0,1.163091927903928,5051.191448458989
146,9302,93,BOOYAH,02,SQUATS,6,1,,,,,,,,
147,11607,116,DHOL LIFE,07,LUNGES,6,1,4:53,293.0,168.0,144.0,1.744047619047619,9820.0,0.6038282999923156,16262.90122560498
148,11608,116,RARI,08,SHOULDERS,6,4,5:39,339.0,85.0,0.0,3.988235294117647,5080.0,1.2288551754964003,4133.928961928257
149,9404,94,TODAY (SCOOTER REMIX),04,BACK,6,1,5:29,329.0,81.0,0.0,4.061728395061729,3205.0,1.1080788199134726,2892.3935214737444
150,11707,117,I WANT IT,07,LUNGES,6,1,5:04,304.0,216.0,192.0,1.4074074074074074,12330.0,0.48727592809391257,25303.938259851086
151,9802,98,TECHNO (EXTENDED MIX),02,SQUATS,6,1,5:29,329.0,128.0,0.0,2.5703125,7270.0,0.8728973201575043,8328.585541639894
152,9605,96,HALLELUJAH,05,TRICEPS,6,2,4:16,256.0,94.0,0.0,2.723404255319149,5690.0,1.003499981170261,5670.154565787276
153,11106,111,WALK ME HOME,06,BICEPS,6,2,4:38,278.0,64.0,28.0,4.34375,3490.0,1.2765247325905555,2733.9854143816383
154,11908,119,SINGULARITY,08,SHOULDERS,7,3,5:11,311.0,74.0,0.0,4.202702702702703,4550.0,1.2949368797037129,3513.6847759259585
155,9203,92,CONQUISTADOR,03,CHEST,5,1,,,,,,,,
